ts,time,pkg,core16,core20,nvme,pl1,gpu_temp,gpu_power,gpu_util,train_tag
1788459178,02:12:58,66.0,56.0,57.0,74,4095,58,91.16,34,ep? s200
1788459183,02:13:03,71.0,61.0,71.0,74,4095,58,92.31,31,ep? s200
1788459188,02:13:08,64.0,55.0,57.0,74,4095,58,92.07,30,ep? s200
1788459193,02:13:13,63.0,53.0,56.0,74,4095,58,92.38,31,ep? s200
1788459198,02:13:18,66.0,54.0,57.0,74,4095,58,91.15,30,ep? s200
1788459203,02:13:23,63.0,56.0,63.0,74,4095,58,91.97,28,ep? s200
1788459208,02:13:28,66.0,56.0,55.0,74,4095,58,90.69,31,ep? s200
1788459213,02:13:33,66.0,57.0,61.0,74,4095,58,86.25,31,ep? s200
1788459218,02:13:38,64.0,55.0,56.0,74,4095,58,91.20,28,ep? s250
1788459223,02:13:43,62.0,58.0,55.0,74,4095,58,91.47,31,ep? s250
1788459228,02:13:48,63.0,54.0,57.0,74,4095,58,91.78,31,ep? s250
1788459233,02:13:53,63.0,54.0,57.0,74,4095,58,91.97,27,ep? s250
1788459238,02:13:58,64.0,55.0,56.0,74,4095,58,92.12,35,ep? s250
1788459244,02:14:04,64.0,55.0,58.0,74,4095,58,92.89,29,ep? s250
1788459249,02:14:09,64.0,56.0,57.0,74,4095,58,91.69,28,ep? s250
1788459254,02:14:14,64.0,55.0,57.0,74,4095,58,91.37,31,ep? s250
1788459259,02:14:19,67.0,59.0,59.0,74,4095,58,91.96,32,ep? s250
1788459264,02:14:24,64.0,57.0,56.0,74,4095,58,91.80,24,ep? s250
1788459269,02:14:29,64.0,55.0,55.0,74,4095,58,91.82,31,ep? s300
1788459274,02:14:34,63.0,54.0,57.0,74,4095,58,92.76,29,ep? s300
1788459279,02:14:39,64.0,58.0,57.0,74,4095,58,91.47,28,ep? s300
1788459284,02:14:44,64.0,57.0,63.0,74,4095,58,90.67,29,ep? s300
1788459289,02:14:49,66.0,54.0,57.0,74,4095,58,92.73,30,ep? s300
1788459294,02:14:54,64.0,56.0,58.0,74,4095,58,90.89,19,ep? s300
1788459299,02:14:59,66.0,58.0,57.0,74,4095,58,93.30,25,ep? s300
1788459304,02:15:04,64.0,55.0,56.0,74,4095,58,92.93,28,ep? s300
1788459309,02:15:09,66.0,56.0,57.0,74,4095,58,91.38,28,ep? s300
1788459314,02:15:14,67.0,56.0,58.0,74,4095,58,92.85,25,ep? s300
1788459319,02:15:19,66.0,56.0,59.0,74,4095,58,93.11,29,ep? s350
1788459325,02:15:25,64.0,55.0,59.0,74,4095,58,91.54,28,ep? s350
1788459330,02:15:30,66.0,55.0,57.0,74,4095,58,93.42,25,ep? s350
1788459335,02:15:35,63.0,54.0,58.0,74,4095,58,92.09,33,ep? s350
1788459340,02:15:40,64.0,55.0,58.0,74,4095,58,93.69,28,ep? s350
1788459345,02:15:45,64.0,56.0,57.0,74,4095,58,93.00,26,ep? s350
1788459350,02:15:50,66.0,54.0,57.0,74,4095,58,91.80,31,ep? s350
1788459355,02:15:55,65.0,54.0,57.0,74,4095,58,93.87,28,ep? s350
1788459360,02:16:00,64.0,60.0,58.0,74,4095,58,93.07,26,ep? s350
1788459365,02:16:05,69.0,55.0,56.0,74,4095,58,93.74,25,ep? s350
1788459370,02:16:10,66.0,58.0,57.0,74,4095,58,93.66,28,ep? s400
1788459375,02:16:15,67.0,54.0,57.0,74,4095,58,91.85,27,ep? s400
1788459380,02:16:20,67.0,58.0,57.0,74,4095,58,93.03,25,ep? s400
1788459385,02:16:25,68.0,55.0,58.0,74,4095,58,93.37,29,ep? s400
1788459390,02:16:30,64.0,56.0,56.0,74,4095,58,92.97,27,ep? s400
1788459395,02:16:35,67.0,55.0,58.0,74,4095,58,93.12,26,ep? s400
1788459400,02:16:40,64.0,54.0,58.0,74,4095,58,91.40,19,ep? s400
1788459405,02:16:45,69.0,54.0,57.0,74,4095,58,93.51,28,ep? s400
1788459410,02:16:50,66.0,61.0,58.0,74,4095,58,91.21,27,ep? s400
1788459416,02:16:56,63.0,55.0,58.0,74,4095,58,93.24,24,ep? s400
1788459421,02:17:01,64.0,61.0,58.0,74,4095,58,91.96,24,ep? s450
1788459426,02:17:06,90.0,60.0,69.0,74,4095,58,91.05,25,ep? s450
1788459431,02:17:11,78.0,55.0,78.0,74,4095,58,90.26,25,ep? s450
1788459436,02:17:16,64.0,58.0,59.0,74,4095,58,86.00,28,ep? s450
1788459441,02:17:21,70.0,55.0,59.0,74,4095,58,91.67,25,ep? s450
1788459446,02:17:26,68.0,56.0,58.0,74,4095,58,91.95,30,ep? s450
1788459451,02:17:31,68.0,58.0,58.0,74,4095,58,90.86,35,ep? s450
1788459456,02:17:36,66.0,58.0,57.0,74,4095,58,90.61,24,ep? s450
1788459462,02:17:42,63.0,55.0,57.0,74,4095,58,94.43,36,ep? s450
1788459467,02:17:47,64.0,54.0,58.0,74,4095,59,94.54,32,ep? s450
1788459472,02:17:52,64.0,55.0,57.0,74,4095,59,92.08,30,ep? s500
1788459477,02:17:57,63.0,54.0,55.0,74,4095,58,90.17,30,ep? s500
1788459482,02:18:02,66.0,56.0,56.0,74,4095,59,94.65,30,ep? s500
1788459487,02:18:07,63.0,54.0,55.0,74,4095,60,91.80,31,ep? s500
1788459492,02:18:12,70.0,56.0,56.0,74,4095,59,91.86,30,ep? s500
1788459497,02:18:17,64.0,56.0,56.0,74,4095,58,91.68,30,ep? s500
1788459502,02:18:22,65.0,57.0,58.0,74,4095,60,91.53,30,ep? s500
1788459507,02:18:27,64.0,62.0,55.0,74,4095,58,90.26,30,ep? s500
1788459513,02:18:33,64.0,56.0,56.0,74,4095,59,92.32,30,ep? s500
1788459518,02:18:38,63.0,55.0,57.0,74,4095,59,90.91,31,ep? s500
1788459523,02:18:43,66.0,60.0,59.0,74,4095,59,91.57,29,ep? s550
1788459528,02:18:48,61.0,60.0,59.0,74,4095,59,95.08,30,ep? s550
1788459533,02:18:53,66.0,61.0,58.0,74,4095,61,91.60,31,ep? s550
1788459538,02:18:58,66.0,56.0,62.0,74,4095,59,91.66,30,ep? s550
1788459543,02:19:03,66.0,62.0,61.0,74,4095,59,91.12,30,ep? s550
1788459548,02:19:08,66.0,58.0,57.0,74,4095,59,93.85,35,ep? s550
1788459553,02:19:13,67.0,58.0,57.0,74,4095,59,91.13,32,ep? s550
1788459558,02:19:18,64.0,59.0,56.0,74,4095,59,92.30,30,ep? s550
1788459563,02:19:23,66.0,56.0,57.0,74,4095,59,91.48,30,ep? s550
1788459568,02:19:28,64.0,55.0,58.0,74,4095,58,93.99,30,ep? s550
1788459573,02:19:33,66.0,57.0,61.0,74,4095,59,91.90,30,ep? s600
1788459578,02:19:38,64.0,60.0,59.0,74,4095,59,92.88,34,ep? s600
1788459583,02:19:43,66.0,58.0,57.0,74,4095,58,91.94,30,ep? s600
1788459589,02:19:49,63.0,55.0,57.0,74,4095,58,91.11,30,ep? s600
1788459594,02:19:54,66.0,55.0,61.0,74,4095,58,91.32,31,ep? s600
1788459599,02:19:59,63.0,58.0,57.0,74,4095,58,91.56,30,ep? s600
1788459604,02:20:04,73.0,60.0,58.0,74,4095,58,91.66,30,ep? s600
1788459609,02:20:09,64.0,54.0,54.0,74,4095,58,91.93,30,ep? s600
1788459614,02:20:14,66.0,56.0,58.0,74,4095,58,91.88,31,ep? s600
